,Date,Week,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent
487,2007-07-18,29,CULEX PIPIENS/RESTUANS,T215,41.686398,-87.531635,63,1
564,2007-07-25,30,CULEX PIPIENS,T115,41.673408,-87.599862,2356,1
568,2007-07-25,30,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,644,1
663,2007-08-01,31,CULEX PIPIENS,T008,42.008314,-87.77792099999999,72,1
715,2007-08-01,31,CULEX PIPIENS,T096,41.731922,-87.677512,17,1
725,2007-08-01,31,CULEX PIPIENS,T135,41.662014,-87.72460799999999,67,1
730,2007-08-01,31,CULEX PIPIENS,T144,41.94016,-87.794896,11,1
748,2007-08-01,31,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,104,1
758,2007-08-01,31,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,11,1
786,2007-08-01,31,CULEX PIPIENS/RESTUANS,T065,41.778296999999995,-87.752411,31,1
800,2007-08-01,31,CULEX PIPIENS/RESTUANS,T081,41.821582,-87.62779599999999,20,1
801,2007-08-01,31,CULEX PIPIENS/RESTUANS,T082,41.803422999999995,-87.642984,69,1
805,2007-08-01,31,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,223,1
808,2007-08-01,31,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,61,1
817,2007-08-01,31,CULEX PIPIENS/RESTUANS,T103,41.702723999999996,-87.536497,378,1
823,2007-08-01,31,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,89,1
824,2007-08-01,31,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,219,1
848,2007-08-01,31,CULEX PIPIENS/RESTUANS,T220,41.963976,-87.69181,2,1
939,2007-08-02,31,CULEX PIPIENS,T138,41.726465000000005,-87.585413,712,1
960,2007-08-02,31,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,20,1
978,2007-08-02,31,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,113,1
1012,2007-08-07,32,CULEX PIPIENS,T008,42.008314,-87.77792099999999,70,1
1014,2007-08-07,32,CULEX PIPIENS,T011,41.944869,-87.832763,43,1
1016,2007-08-07,32,CULEX PIPIENS,T014,41.970248,-87.787992,44,1
1017,2007-08-07,32,CULEX PIPIENS,T015,41.974089,-87.824812,26,1
1018,2007-08-07,32,CULEX PIPIENS,T016,42.011601,-87.81150600000001,37,1
1044,2007-08-07,32,CULEX PIPIENS,T082,41.803422999999995,-87.642984,8,1
1062,2007-08-07,32,CULEX PIPIENS,T143,41.999128999999996,-87.795585,29,1
1077,2007-08-07,32,CULEX PIPIENS,T162,41.725516999999996,-87.61425799999999,7,1
1088,2007-08-07,32,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,28,1
1144,2007-08-07,32,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,15,1
1182,2007-08-07,32,CULEX RESTUANS,T160,41.903002,-87.68826700000001,1,1
1186,2007-08-08,32,CULEX PIPIENS,T103,41.702723999999996,-87.536497,110,1
1188,2007-08-08,32,CULEX PIPIENS,T115,41.673408,-87.599862,1310,1
1190,2007-08-08,32,CULEX PIPIENS,T138,41.726465000000005,-87.585413,1658,1
1193,2007-08-08,32,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,315,1
1194,2007-08-08,32,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.56566600000001,80,1
1202,2007-08-09,32,CULEX PIPIENS,T209,41.740641,-87.546587,41,1
1219,2007-08-15,33,CULEX PIPIENS,T003,41.964242,-87.757639,55,1
1221,2007-08-15,33,CULEX PIPIENS,T006,41.990284,-87.797127,20,1
1222,2007-08-15,33,CULEX PIPIENS,T008,42.008314,-87.77792099999999,12,1
1223,2007-08-15,33,CULEX PIPIENS,T009,41.981964000000005,-87.812827,27,1
1224,2007-08-15,33,CULEX PIPIENS,T011,41.944869,-87.832763,25,1
1225,2007-08-15,33,CULEX PIPIENS,T012,41.991429,-87.747113,16,1
1228,2007-08-15,33,CULEX PIPIENS,T015,41.974089,-87.824812,11,1
1229,2007-08-15,33,CULEX PIPIENS,T016,42.011601,-87.81150600000001,118,1
1238,2007-08-15,33,CULEX PIPIENS,T033,41.906638,-87.701431,14,1
1248,2007-08-15,33,CULEX PIPIENS,T048,41.867108,-87.654224,3,1
1254,2007-08-15,33,CULEX PIPIENS,T061,41.801179,-87.679447,35,1
1258,2007-08-15,33,CULEX PIPIENS,T066,41.77166,-87.703047,20,1
1263,2007-08-15,33,CULEX PIPIENS,T074,41.822536,-87.66634300000001,39,1
1268,2007-08-15,33,CULEX PIPIENS,T082,41.803422999999995,-87.642984,79,1
1287,2007-08-15,33,CULEX PIPIENS,T114,41.798697,-87.736812,23,1
1292,2007-08-15,33,CULEX PIPIENS,T142,41.953067,-87.776792,9,1
1293,2007-08-15,33,CULEX PIPIENS,T143,41.999128999999996,-87.795585,31,1
1295,2007-08-15,33,CULEX PIPIENS,T145,41.878114000000004,-87.629798,25,1
1302,2007-08-15,33,CULEX PIPIENS,T154,41.918704999999996,-87.752329,14,1
1303,2007-08-15,33,CULEX PIPIENS,T155,41.776156,-87.778927,26,1
1315,2007-08-15,33,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,41,1
1316,2007-08-15,33,CULEX PIPIENS/RESTUANS,T003,41.964242,-87.757639,27,1
1319,2007-08-15,33,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,16,1
1322,2007-08-15,33,CULEX PIPIENS/RESTUANS,T009,41.981964000000005,-87.812827,38,1
1323,2007-08-15,33,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,39,1
1328,2007-08-15,33,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,98,1
1345,2007-08-15,33,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,108,1
1394,2007-08-15,33,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,67,1
1405,2007-08-15,33,CULEX PIPIENS/RESTUANS,T155,41.776156,-87.778927,20,1
1408,2007-08-15,33,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,69,1
1420,2007-08-15,33,CULEX RESTUANS,T035,41.836644,-87.677737,1,1
1423,2007-08-15,33,CULEX RESTUANS,T048,41.867108,-87.654224,1,1
1424,2007-08-15,33,CULEX RESTUANS,T049,41.896282,-87.655232,1,1
1430,2007-08-15,33,CULEX RESTUANS,T086,41.688324,-87.676709,6,1
1450,2007-08-16,33,CULEX PIPIENS,T115,41.673408,-87.599862,2532,1
1451,2007-08-16,33,CULEX PIPIENS,T128,41.704572,-87.56566600000001,821,1
1452,2007-08-16,33,CULEX PIPIENS,T138,41.726465000000005,-87.585413,1000,1
1453,2007-08-16,33,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,104,1
1456,2007-08-17,33,CULEX PIPIENS,T138,41.726465000000005,-87.585413,651,1
1459,2007-08-17,33,CULEX PIPIENS,T209,41.740641,-87.546587,37,1
1461,2007-08-17,33,CULEX PIPIENS,T215,41.686398,-87.531635,60,1
1462,2007-08-17,33,CULEX PIPIENS,T221,41.659112,-87.53869300000001,279,1
1469,2007-08-17,33,CULEX PIPIENS/RESTUANS,T221,41.659112,-87.53869300000001,177,1
1478,2007-08-21,34,CULEX PIPIENS,T003,41.964242,-87.757639,23,1
1480,2007-08-21,34,CULEX PIPIENS,T006,41.990284,-87.797127,9,1
1483,2007-08-21,34,CULEX PIPIENS,T011,41.944869,-87.832763,11,1
1485,2007-08-21,34,CULEX PIPIENS,T014,41.970248,-87.787992,23,1
1495,2007-08-21,34,CULEX PIPIENS,T033,41.906638,-87.701431,8,1
1498,2007-08-21,34,CULEX PIPIENS,T036,41.837084999999995,-87.729384,5,1
1503,2007-08-21,34,CULEX PIPIENS,T045,41.9216,-87.666455,17,1
1511,2007-08-21,34,CULEX PIPIENS,T061,41.801179,-87.679447,18,1
1514,2007-08-21,34,CULEX PIPIENS,T065,41.778296999999995,-87.752411,67,1
1518,2007-08-21,34,CULEX PIPIENS,T070,41.797616,-87.797894,10,1
1529,2007-08-21,34,CULEX PIPIENS,T084,41.692555,-87.598865,7,1
1531,2007-08-21,34,CULEX PIPIENS,T086,41.688324,-87.676709,62,1
1533,2007-08-21,34,CULEX PIPIENS,T089,41.723195000000004,-87.64997,5,1
1534,2007-08-21,34,CULEX PIPIENS,T090,41.868077,-87.666901,7,1
1537,2007-08-21,34,CULEX PIPIENS,T143,41.999128999999996,-87.795585,1,1
1553,2007-08-21,34,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,23,1
1557,2007-08-21,34,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,1,1
1558,2007-08-21,34,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.77792099999999,6,1
1563,2007-08-21,34,CULEX PIPIENS/RESTUANS,T014,41.970248,-87.787992,22,1
1564,2007-08-21,34,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,5,1
1565,2007-08-21,34,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,4,1
1578,2007-08-21,34,CULEX PIPIENS/RESTUANS,T039,41.911823999999996,-87.726737,28,1
1580,2007-08-21,34,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,28,1
1589,2007-08-21,34,CULEX PIPIENS/RESTUANS,T061,41.801179,-87.679447,13,1
1596,2007-08-21,34,CULEX PIPIENS/RESTUANS,T070,41.797616,-87.797894,13,1
1605,2007-08-21,34,CULEX PIPIENS/RESTUANS,T081,41.821582,-87.62779599999999,16,1
1606,2007-08-21,34,CULEX PIPIENS/RESTUANS,T082,41.803422999999995,-87.642984,8,1
1610,2007-08-21,34,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,57,1
1614,2007-08-21,34,CULEX PIPIENS/RESTUANS,T114,41.798697,-87.736812,8,1
1624,2007-08-21,34,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,18,1
1644,2007-08-21,34,CULEX RESTUANS,T114,41.798697,-87.736812,1,1
1657,2007-08-22,34,CULEX PIPIENS,T094,41.720848,-87.666014,28,1
1659,2007-08-22,34,CULEX PIPIENS,T096,41.731922,-87.677512,85,1
1666,2007-08-22,34,CULEX PIPIENS,T115,41.673408,-87.599862,1554,1
1667,2007-08-22,34,CULEX PIPIENS,T128,41.704572,-87.56566600000001,217,1
1668,2007-08-22,34,CULEX PIPIENS,T135,41.662014,-87.72460799999999,231,1
1669,2007-08-22,34,CULEX PIPIENS,T138,41.726465000000005,-87.585413,1054,1
1671,2007-08-22,34,CULEX PIPIENS,T159,41.732984,-87.649642,40,1
1675,2007-08-22,34,CULEX PIPIENS,T200,41.678618,-87.559308,52,1
1677,2007-08-22,34,CULEX PIPIENS,T209,41.740641,-87.546587,25,1
1680,2007-08-22,34,CULEX PIPIENS,T221,41.659112,-87.53869300000001,25,1
1685,2007-08-22,34,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,43,1
1686,2007-08-22,34,CULEX PIPIENS/RESTUANS,T097,41.644612,-87.60449799999999,10,1
1691,2007-08-22,34,CULEX PIPIENS/RESTUANS,T107,41.729669,-87.582699,3,1
1693,2007-08-22,34,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.56566600000001,121,1
1694,2007-08-22,34,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,68,1
1695,2007-08-22,34,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,69,1
1697,2007-08-22,34,CULEX PIPIENS/RESTUANS,T159,41.732984,-87.649642,24,1
1698,2007-08-22,34,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.68826700000001,9,1
1705,2007-08-22,34,CULEX PIPIENS/RESTUANS,T215,41.686398,-87.531635,22,1
1717,2007-08-24,34,CULEX PIPIENS,T003,41.964242,-87.757639,19,1
1718,2007-08-24,34,CULEX PIPIENS,T005,41.942114000000004,-87.776385,12,1
1722,2007-08-24,34,CULEX PIPIENS,T009,41.981964000000005,-87.812827,28,1
1723,2007-08-24,34,CULEX PIPIENS,T011,41.944869,-87.832763,9,1
1724,2007-08-24,34,CULEX PIPIENS,T012,41.991429,-87.747113,5,1
1726,2007-08-24,34,CULEX PIPIENS,T014,41.970248,-87.787992,18,1
1756,2007-08-24,34,CULEX PIPIENS,T073,41.773215,-87.60088,10,1
1762,2007-08-24,34,CULEX PIPIENS,T082,41.803422999999995,-87.642984,17,1
1763,2007-08-24,34,CULEX PIPIENS,T083,41.754292,-87.590773,14,1
1766,2007-08-24,34,CULEX PIPIENS,T086,41.688324,-87.676709,38,1
1777,2007-08-24,34,CULEX PIPIENS,T135,41.662014,-87.72460799999999,106,1
1779,2007-08-24,34,CULEX PIPIENS,T144,41.94016,-87.794896,15,1
1785,2007-08-24,34,CULEX PIPIENS,T152,41.846075,-87.716277,5,1
1787,2007-08-24,34,CULEX PIPIENS,T155,41.776156,-87.778927,5,1
1790,2007-08-24,34,CULEX PIPIENS,T160,41.903002,-87.68826700000001,3,1
1796,2007-08-24,34,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,27,1
1798,2007-08-24,34,CULEX PIPIENS/RESTUANS,T005,41.942114000000004,-87.776385,5,1
1806,2007-08-24,34,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,9,1
1840,2007-08-24,34,CULEX PIPIENS/RESTUANS,T080,41.754676,-87.612922,20,1
1842,2007-08-24,34,CULEX PIPIENS/RESTUANS,T082,41.803422999999995,-87.642984,16,1
1846,2007-08-24,34,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,69,1
1852,2007-08-24,34,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.70373599999999,6,1
1858,2007-08-24,34,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,53,1
1869,2007-08-24,34,CULEX PIPIENS/RESTUANS,T154,41.918704999999996,-87.752329,12,1
1895,2007-08-28,35,CULEX PIPIENS,T103,41.702723999999996,-87.536497,421,1
1897,2007-08-28,35,CULEX PIPIENS,T115,41.673408,-87.599862,2207,1
1898,2007-08-28,35,CULEX PIPIENS,T128,41.704572,-87.56566600000001,290,1
1899,2007-08-28,35,CULEX PIPIENS,T138,41.726465000000005,-87.585413,561,1
1903,2007-08-28,35,CULEX PIPIENS,T212,41.680946,-87.535198,211,1
1908,2007-08-28,35,CULEX PIPIENS/RESTUANS,T107,41.729669,-87.582699,4,1
1909,2007-08-28,35,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,269,1
1923,2007-09-04,36,CULEX PIPIENS,T002,41.95469,-87.800991,13,1
1935,2007-09-04,36,CULEX PIPIENS,T028,41.986921,-87.689778,5,1
1946,2007-09-04,36,CULEX PIPIENS,T061,41.801179,-87.679447,13,1
1961,2007-09-04,36,CULEX PIPIENS,T220,41.963976,-87.69181,1,1
1962,2007-09-04,36,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,10,1
1975,2007-09-04,36,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,1,1
1979,2007-09-04,36,CULEX PIPIENS/RESTUANS,T037,41.921177,-87.79518,3,1
1988,2007-09-04,36,CULEX PIPIENS/RESTUANS,T063,41.82561,-87.726549,2,1
2013,2007-09-05,36,CULEX PIPIENS,T074,41.822536,-87.66634300000001,3,1
2020,2007-09-05,36,CULEX PIPIENS,T085,41.721474,-87.648064,4,1
2021,2007-09-05,36,CULEX PIPIENS,T086,41.688324,-87.676709,13,1
2029,2007-09-05,36,CULEX PIPIENS,T103,41.702723999999996,-87.536497,23,1
2032,2007-09-05,36,CULEX PIPIENS,T115,41.673408,-87.599862,1648,1
2033,2007-09-05,36,CULEX PIPIENS,T135,41.662014,-87.72460799999999,38,1
2054,2007-09-05,36,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,7,1
2055,2007-09-05,36,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,13,1
2072,2007-09-06,36,CULEX PIPIENS,T138,41.726465000000005,-87.585413,387,1
2084,2007-09-06,36,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,21,1
2093,2007-09-12,37,CULEX PIPIENS,T002,41.95469,-87.800991,6,1
2122,2007-09-12,37,CULEX PIPIENS,T073,41.773215,-87.60088,1,1
2163,2007-09-12,37,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,10,1
2181,2007-09-12,37,CULEX PIPIENS/RESTUANS,T067,41.759346,-87.745602,16,1
2197,2007-09-12,37,CULEX PIPIENS/RESTUANS,T114,41.798697,-87.736812,9,1
2335,2007-09-19,38,CULEX PIPIENS,T115,41.673408,-87.599862,968,1
2458,2007-09-24,39,CULEX PIPIENS,T115,41.673408,-87.599862,527,1
2607,2007-10-04,40,CULEX PIPIENS,T062,41.800737,-87.71188000000001,12,1
2648,2007-10-04,40,CULEX PIPIENS,T156,41.772846,-87.740029,8,1
3687,2009-07-24,29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,215,1
3696,2009-07-24,29,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,38,1
3770,2009-07-27,30,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.70373599999999,12,1
3788,2009-07-27,30,CULEX RESTUANS,T095,41.704336,-87.70373599999999,8,1
3873,2009-07-31,30,CULEX PIPIENS/RESTUANS,T225,41.743402,-87.731435,160,1
4074,2009-08-13,32,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,29,1
4122,2009-08-13,32,CULEX RESTUANS,T160,41.903002,-87.68826700000001,1,1
4143,2009-08-25,34,CULEX PIPIENS/RESTUANS,T009,41.992478000000006,-87.862995,42,1
4144,2009-08-25,34,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,76,1
4161,2009-08-25,34,CULEX PIPIENS/RESTUANS,T102,41.750498,-87.605294,1,1
4171,2009-08-25,34,CULEX PIPIENS/RESTUANS,T221,41.659112,-87.53869300000001,4,1
4177,2009-08-25,34,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,181,1
4178,2009-08-25,34,CULEX PIPIENS/RESTUANS,T903,41.957799,-87.930995,68,1
4194,2009-08-25,34,CULEX RESTUANS,T903,41.957799,-87.930995,14,1
4292,2009-09-03,35,CULEX RESTUANS,T900,41.974689,-87.890615,9,1
4350,2009-09-14,37,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,9,1
4365,2009-09-14,37,CULEX PIPIENS/RESTUANS,T230,41.904194,-87.756155,8,1
4395,2009-09-14,37,CULEX RESTUANS,T228,41.951865999999995,-87.72505699999999,2,1
4610,2009-09-25,38,CULEX RESTUANS,T013,41.923738,-87.785288,1,1
5359,2011-07-25,30,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,292,1
5402,2011-07-25,30,CULEX RESTUANS,T225,41.743402,-87.731435,16,1
5409,2011-07-25,30,CULEX RESTUANS,T900,41.974689,-87.890615,212,1
5446,2011-07-29,30,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,108,1
5478,2011-07-29,30,CULEX PIPIENS/RESTUANS,T223,41.973845000000004,-87.805059,90,1
5484,2011-07-29,30,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,87,1
5485,2011-07-29,30,CULEX PIPIENS/RESTUANS,T903,41.957799,-87.930995,33,1
5507,2011-07-29,30,CULEX RESTUANS,T090,41.868077,-87.666901,8,1
5525,2011-07-29,30,CULEX RESTUANS,T900,41.974689,-87.890615,37,1
5526,2011-07-29,30,CULEX RESTUANS,T903,41.957799,-87.930995,10,1
5563,2011-08-05,31,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.77792099999999,23,1
5615,2011-08-05,31,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,59,1
5616,2011-08-05,31,CULEX PIPIENS/RESTUANS,T903,41.957799,-87.930995,39,1
5652,2011-08-05,31,CULEX RESTUANS,T903,41.957799,-87.930995,10,1
5663,2011-08-12,32,CULEX PIPIENS,T081,41.821582,-87.62779599999999,1,1
5679,2011-08-12,32,CULEX PIPIENS,T900,41.974689,-87.890615,38,1
5708,2011-08-12,32,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.70373599999999,4,1
5712,2011-08-12,32,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,55,1
5731,2011-08-12,32,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,182,1
5732,2011-08-12,32,CULEX PIPIENS/RESTUANS,T903,41.957799,-87.930995,58,1
